Epoch,Train_Loss,Test_Accuracy,Sensitivity,Specificity,F1_Score,AUC
1,0.09798772191652427,0.8493589743589743,0.9923076923076923,0.6111111111111112,0.8917050691244239,0.9502849002849003
2,0.027674078534369057,0.8605769230769231,0.9846153846153847,0.6538461538461539,0.8982456140350877,0.9516107823800132
3,0.02593184903675189,0.8477564102564102,0.9923076923076923,0.6068376068376068,0.8906789413118527,0.9607659434582512
4,0.0123724672293303,0.875,0.9487179487179487,0.7521367521367521,0.9046454767726161,0.9561198772737234
5,0.006381835446968719,0.75,1.0,0.3333333333333333,0.8333333333333334,0.9364343633574402
6,0.00613698436491265,0.8397435897435898,0.9871794871794872,0.594017094017094,0.8850574712643678,0.9443129520052598
7,0.00391608409693473,0.8285256410256411,0.9897435897435898,0.5598290598290598,0.8782707622298066,0.9372233179925489
8,0.003400675934833342,0.8493589743589743,0.8538461538461538,0.8418803418803419,0.8763157894736842,0.9316787201402587
9,0.012887402891742564,0.8910256410256411,0.982051282051282,0.7393162393162394,0.9184652278177458,0.9478687267148805
10,0.0036316446397081296,0.8589743589743589,0.9897435897435898,0.6410256410256411,0.8976744186046511,0.9411133026517642
11,0.0014051973296601622,0.8189102564102564,0.9974358974358974,0.5213675213675214,0.8731762065095399,0.9534900284900285
12,0.0007161144687516176,0.8205128205128205,0.9948717948717949,0.5299145299145299,0.8738738738738738,0.9354207758053912
13,0.0002709844580786256,0.8605769230769231,0.9897435897435898,0.6452991452991453,0.8987194412107101,0.9423460442691212
14,0.00022008398454043842,0.8317307692307693,0.9948717948717949,0.5598290598290598,0.8808172531214529,0.941299583607276
15,0.00013886797144311243,0.8509615384615384,0.9948717948717949,0.6111111111111112,0.8929804372842347,0.942313171159325
